"","Month","Team","Hits"
"323","2020-04","Arsenal",6
"324","2020-05","Arsenal",7
"325","2020-06","Arsenal",14
"326","2020-07","Arsenal",22
"327","2020-08","Arsenal",27
"328","2020-09","Arsenal",26
"329","2020-10","Arsenal",21
"330","2020-11","Arsenal",14
"331","2020-12","Arsenal",20
"332","2021-01","Arsenal",21
"333","2021-02","Arsenal",16
"334","2021-03","Arsenal",14
"335","2021-04","Arsenal",17
"336","2021-05","Arsenal",16
"337","2021-06","Arsenal",12
"338","2021-07","Arsenal",17
"339","2021-08","Arsenal",29
"340","2021-09","Arsenal",16
"341","2021-10","Arsenal",14
"342","2021-11","Arsenal",13
"343","2021-12","Arsenal",22
"344","2022-01","Arsenal",25
"345","2022-02","Arsenal",13
"346","2022-03","Arsenal",14
"347","2022-04","Arsenal",18
"348","2022-05","Arsenal",17
"349","2022-06","Arsenal",13
"350","2022-07","Arsenal",25
"351","2022-08","Arsenal",29
"352","2022-09","Arsenal",24
"353","2022-10","Arsenal",37
"354","2022-11","Arsenal",19
"355","2022-12","Arsenal",19
"356","2023-01","Arsenal",44
"357","2023-02","Arsenal",38
"358","2023-03","Arsenal",33
"359","2023-04","Arsenal",43
"360","2023-05","Arsenal",29
"361","2013-06","Chelsea",16
"362","2013-07","Chelsea",17
"363","2013-08","Chelsea",29
"364","2013-09","Chelsea",15
"365","2013-10","Chelsea",15
"366","2013-11","Chelsea",11
"367","2013-12","Chelsea",16
"368","2014-01","Chelsea",18
"369","2014-02","Chelsea",23
"370","2014-03","Chelsea",18
"371","2014-04","Chelsea",37
"372","2014-05","Chelsea",16
"373","2014-06","Chelsea",14
"374","2014-07","Chelsea",19
"375","2014-08","Chelsea",23
"376","2014-09","Chelsea",18
"377","2014-10","Chelsea",19
"378","2014-11","Chelsea",16
"379","2014-12","Chelsea",18
"380","2015-01","Chelsea",23
"381","2015-02","Chelsea",20
"382","2015-03","Chelsea",21
"383","2015-04","Chelsea",19
"384","2015-05","Chelsea",17
"385","2015-06","Chelsea",13
"386","2015-07","Chelsea",19
"387","2015-08","Chelsea",26
"388","2015-09","Chelsea",18
"389","2015-10","Chelsea",17
"390","2015-11","Chelsea",15
"391","2015-12","Chelsea",20
"392","2016-01","Chelsea",19
"393","2016-02","Chelsea",22
"394","2016-03","Chelsea",16
"395","2016-04","Chelsea",12
"396","2016-05","Chelsea",16
"397","2016-06","Chelsea",10
"398","2016-07","Chelsea",19
"399","2016-08","Chelsea",23
"400","2016-09","Chelsea",19
"401","2016-10","Chelsea",17
"402","2016-11","Chelsea",14
"403","2016-12","Chelsea",20
"404","2017-01","Chelsea",22
"405","2017-02","Chelsea",16
"406","2017-03","Chelsea",15
"407","2017-04","Chelsea",24
"408","2017-05","Chelsea",20
"409","2017-06","Chelsea",15
"410","2017-07","Chelsea",29
"411","2017-08","Chelsea",29
"412","2017-09","Chelsea",24
"413","2017-10","Chelsea",15
"414","2017-11","Chelsea",15
"415","2017-12","Chelsea",17
"416","2018-01","Chelsea",25
"417","2018-02","Chelsea",28
"418","2018-03","Chelsea",21
"419","2018-04","Chelsea",13
"420","2018-05","Chelsea",17
"421","2018-06","Chelsea",12
"422","2018-07","Chelsea",19
"423","2018-08","Chelsea",23
"424","2018-09","Chelsea",17
"425","2018-10","Chelsea",15
"426","2018-11","Chelsea",13
"427","2018-12","Chelsea",16
"428","2019-01","Chelsea",24
